,screen_name,created_at,full_text
136,mahlatseMla,2019-05-26 19:02:24,RT @liamcunningham1: Almost there. It s been utterly extraordinary. Thank you all. #GameOfThronesFinale #GamefThrones
137,sebaess,2019-05-26 19:01:24,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
138,ithinkisayes,2019-05-26 19:01:23,"RT @udotai_j: Jamie Lannister's kingslayer level is so high, he tried to kill the king 8 seasons ago   
#GameofThrones #GameOfThronesFinale "
139,ultimatepeapie,2019-05-26 19:01:08,"RT @FoldableHuman: Say what you will about the #GameOfThronesFinale, the John Hughes homage was a bold choice to end on. https://t.co/kKJrJ "
140,leoksy,2019-05-26 19:00:02,"RT @_Typoe_odealo:      ,           ,       .
#GameOfThrones 
#aegontargaryen 
#GameofThronesFinale https://t.co/5FtEsP1CYL"
141,Florencia_md,2019-05-26 18:59:58,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
142,umsubcabbro,2019-05-26 18:59:52,RT @KawalePradatta: THANK YOU SO MUCH @GameOfThrones #GameOfThronesFinale #GOTSeasonFinale   
143,quardibena,2019-05-26 18:59:30,RT @Thierryhenry228: This is terrible     #GameOfThronesFinale
144,emmanunjwe,2019-05-26 18:58:37,"RT @Gr33nHand:   The good ole days when Robert was king, ahh, well,  nothing lasts  (two of the 62 words spoken by Varys in season 8.) Bril "
145,VNMND,2019-05-26 18:58:29,"RT @FoldableHuman: Say what you will about the #GameOfThronesFinale, the John Hughes homage was a bold choice to end on. https://t.co/kKJrJ "
146,RitaAdderiy10,2019-05-26 18:58:19,"RT @iTiffanyMoore: When you do nothing in the group project, but still get an A.
#gameofthronesfinale
#GameOfThrones https://t.co/W15yY0A1Br"
147,donjuanvet,2019-05-26 18:58:15,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
